Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS51	1547274.5	REG0-8997 // REG0-5782	PM00217	CPLX0-7797
BS00467	990394.5	REG0-5727	PM00274	CPLX0-7975
BS0-8246		REG0-11503	PM0-7361	PD00214
BS81	2512968.5	REG0-5819	PM00199	CPLX0-226
BS0-8806		REG0-13123	PM932	CPLX0-8563
BS0-2944	4128597.5d0	REG0-6295	PM00490	CPLX0-7796
BS0-6944	1978281	REG0-5585	PM00184	CPLX0-7639
BS264	3073820.5	REG0-15233 // REG0-5630	PM0-46577 // PM00591	PC00061
BS0-7519	940830	REG0-9357	PM00026	CPLX0-7705
BS0-7114	1699211.5	REG0-10181 // REG0-5599	PM00260 // PM00177	CPLX0-226
BS0-7346	913840	REG0-8944	PM0-7361	CPLX0-7756
BS0-8150		REG0-11268	TU0-13837	PHOSPHO-CREB
BS0-7291	1092564	REG0-6598	PM0-8907	MONOMER0-46
BS00491	2685633.5	REG0-5930	PM00268	CPLX-123
BS00421	29246	REG0-9000 // REG0-5882	PM00151	PC00027
BS-7049	3169287	REG0-6546	PM0-45592	MONOMER0-2741
BS0-7539	1813816	REG0-9378	PM00378	CPLX0-7705
BS0-8119	2911389	REG0-11224 // REG0-11220	PM622 // PM623	CPLX0-1242
BS0-7133	4617243	REG0-4812	PM00025	CPLX0-6
BS0-8513	980739	REG0-12488	PM0-10007	CPLX0-7748
BS0-8301	887397.5	REG0-11623 // REG0-11622	TU0-13069 // TU0-8671	CPLX0-8597
BS448	1619031.5	REG0-5924	PM00265	PD00365
BS0-7536	1230458	REG0-9375	PM681	CPLX0-7705
BS0-6957	612709.5	REG0-5838	PM00225	CPLX0-226
BS0-8488	1050751	REG0-12296	PM0-46352	G7947-MONOMER
BS0-3882	3544652	REG0-6224	PM0-5221	PD03585
BS324	576915.5	REG0-5052	PM437	PHOSPHO-OMPR
BS0-8814	1404619	REG0-14424 // REG0-13132	G6670 // TU0-8760	G7072-MONOMER
BS00602	2798643	REG0-5380	PM00537	PD00353
BS00048	4616671	REG0-4806	PM00024	PD01196
BS0-7478	2246952	REG0-9277	PM00020	CPLX0-7639
BS-7105	3410078.5d0	REG0-4625	PM00028	CPLX0-226
BS0-10662	2473496	REG0-16129 // REG0-16126	TU0-13604 // TU0-13603	G7518-MONOMER
BS0-8748	1712520	REG0-12880	PM0-8909	EG12243-MONOMER
BS0-8317	293115.5	REG0-11639	PM0-44418	CPLX0-8597
BS0-5704	2241619.5	REG0-4646	PM00031	PD03028
BS0-7343	2498566.5	REG0-8939	PM0-9593	EG12094-MONOMER
BS0-1341	4382516	REG0-15008 // REG0-4638	PM0-46523 // PM00030	CPLX0-7721
BS0-5521	4539930.5	REG0-9080 // REG0-6132	PM00560 // PM0-7183	CPLX0-8593
BS765	131400	REG0-4936	PM263	PHOSPHO-ARCA
BS0-10886	4360177	REG0-16455	PM00622	PD00436
BS0-7581	1754637	REG0-9461	PM0-10196	PHOSPHO-NARP
BS166	385114	REG0-5108	PM502	G7071-MONOMER
BS0-3484	770866	REG0-5500	PM00141	PHOSPHO-ARCA
BS0-3963		REG0-6363	PM0-2441	EG11544-MONOMER
BS0-8776	1930835.5	REG0-12962	PM0-46401	CPLX-123
BS00774	262775	REG0-5383	PM00645	CPLX0-7705
BS0-3	4105733	REG0-15276 // REG0-6573 // REG0-6490	PM0-46584 // PM0-4 // PM0-1201	CPLX0-7748
BS0-7042		REG0-6109	PM00444	PHOSPHO-ARCA
BS0-8440	1350182.5	REG0-12120	PM0-46333	PC00040
BS0-7741	4605715	REG0-12899 // REG0-10457	PM0-10418 // PM0-8081	PD00214
BS0-3942	1696305.5d0	REG0-6189	PM0-5321	G6867-MONOMER
BS0-6821	4287601	REG0-5956	PM00280	PHOSPHO-NARP
BS0-8635	1453845.5	REG0-12665	PM5	CPLX0-8563
BS0-7884	890851.5	REG0-10751	PM0-2281	PD00406
BS756	3553035	REG0-5474	PM00129	PD01896
BS0-8112	1103571.5	REG0-15147 // REG0-11213	PM0-46559 // PM00536	PC00061
BS00796	127688	REG0-5909	PM00326	CPLX0-7705
BS0-7610	2233931.5	REG0-9571	PM0-10082	CPLX0-226
BS0-8561	1313972.5	REG0-12547	PM0-9249	PHOSPHO-NARL
BS-7086	1500535	REG0-6593	PM-8830	CPLX0-7756
BS00419	4100691	REG0-5526	PM00089	PC00027
BS0-2963	4132547	REG0-4506	PM00054	CPLX0-7796
BS0-7474	2494546.5	REG0-9272	PM0-9856	PHOSPHO-EVGA
BS0-7022		REG0-6561	PM0-8735	CPLX0-7797
BS0-7126	2949201.5	REG0-6536	PM0-8908	CPLX0-228
BS0-6541	656494	REG0-6068	PM0-8201	PHOSPHO-PHOP
BS00059	940816	REG0-4820	PM00026	PHOSPHO-NARL
BS0-7026		REG0-6355	PM0-3281	CPLX0-7797
BS0-8237		REG0-11493	TU0-14116	EG11356-MONOMER
BS0-8443	1624043.5	REG0-12123	PM0-9401	CPLX0-2781
BS0-7625	2634118	REG0-9595	PM00289	CPLX0-7705
BS0-2503	1832143.5	REG0-6483	PM0-1163	CPLX0-228
BS0-8796	656516	REG0-13045	PM0-8201	CPLX0-8563
BS-7084	2685798	REG0-4850	PM00415	CPLX0-7756
BS0-7804	4617190.5	REG0-10561	PM00025	CPLX0-7740
BS0-8222		REG0-11474	PM0-46179	EG11554-MONOMER
BS0-8830	4294262	REG0-13148	TU0-14126	G7072-MONOMER
BS0-8758	2041366.5	REG0-12892	PM0-8710	PD00214
BS00650	1901854	REG0-5732	PM00276	PD01896
BS00323		REG0-5814	PM00171	CPLX0-226
BS0-8153		REG0-11272	TU0-42470	PHOSPHO-CREB
BS0-1982	841646	REG0-6385	PM0-2701	CPLX0-7639
BS0-8944	3006104.5	REG0-13309	TU0-13773	CPLX0-226
BS0-7117	461654	REG0-6153	PM00615	CPLX0-7748
BS0-2343		REG0-5056	PM439	PD00288
BS0-3351	1293140	REG0-5685	PM00191	PD00288
BS0-1342	3683604	REG0-5363	PM0-1621	CPLX0-7721
BS0-8794	656416.5	REG0-13043	PM0-8201	CPLX0-8563
BS0-8217	4098625	REG0-14944 // REG0-11469	PM0-46502 // PM00087	PD00221
BS0-7654	2243807.5	REG0-9986	PM0-10286	CPLX0-7796
BS0-7868	3206261	REG0-10712	PM0-10539	CPLX0-8048
BS0-8852	1919896	REG0-13171	TU0-13428	G7072-MONOMER
BS0-7491	29448	REG0-9310	PM00151	CPLX0-7705
BS0-8427	4449781	REG0-12020	TU0-14166	PC00003
BS0-4561	412572	REG0-5494	PM00140	CPLX-172
BS0-7169	1031942	REG0-14860 // REG0-5324	PM0-46472 // PM00598	G7326-MONOMER
BS462	2633860	REG0-5951	PM00289	MONOMER0-160
BS0-7916	1103522	REG0-15163 // REG0-10808	PM0-46559 // PM00536	CPLX0-7748
BS00791	4362701	REG0-5303	PM00675	CPLX0-7705
BS0-4281		REG0-5587	PM00184	EG11449-MONOMER
BS0-7041		REG0-5561	PM00306	PHOSPHO-ARCA
BS0-8446	1216261.5	REG0-12127	TU0-42593	CPLX0-2781
BS0-7165	2662252	REG0-6403	PM0-2061	CPLX0-8083
BS0-8909	3252936	REG0-13263	TU0-13867	G7072-MONOMER
BS0-7279	1986738	REG0-4609	PM0-9403	CPLX0-7748
BS0-8795	656437	REG0-13044	PM0-8201	CPLX0-8563
BS0-1362	2441661.5	REG0-6444	PM00407	EG11394-MONOMER
BS0-1944	3146343	REG0-5068	PM197	PHOSPHO-NARL
BS0-7659	3656844.5	REG0-15106 // REG0-15097 // REG0-10989 // REG0-10001	PM0-46542 // PM928	EG12242-MONOMER
BS0-4301	1230521.5	REG0-4964	PM681	CPLX0-8563
BS0-8284	481188.5	REG0-11580	PM0-9394	PHOSPHO-BASR
BS0-8195	1237363	REG0-11422 // REG0-5284 // REG0-11414	PM562 // PM00540 // PM561	PD00353
BS0-3426	42138	REG0-5650	PM00528	PHOSPHO-ARCA
BS0-4201	422457.5	REG0-6161	PM0-5642	MONOMER0-158
BS0-7602	848976	REG0-14939 // REG0-9552	PM0-46500 // PM00243	CPLX0-7705
BS0-7443	900674.5	REG0-9160	PM0-8542	CPLX0-228
BS00069	2241618.5	REG0-4648	PM00031	PD00261
BS00121	3552570.5	REG0-4491	PM00049	MONOMER0-158
BS0-7992		REG0-10924	PM0-36140	PD00288
BS0-5463	366348	REG0-4718	PM00045	PD00288
BS0-7565	3656950	REG0-15108 // REG0-9408	PM0-46542 // PM928	MONOMER0-155
BS0-8744	1572340	REG0-15041 // REG0-12876	PM0-46530 // PM450	EG12243-MONOMER
BS0-2348		REG0-6326	PM0-3342	PHOSPHO-ARCA
BS0-7858	3669325	REG0-10683	PM0-9588	PD00214
BS00753	3485993.5d0	REG0-5443 // REG0-5270	PM00161 // PM00632	CPLX0-226
BS0-8166	2344420.5	REG0-11326	PM00063	CPLX0-7669
BS0-5882	348498.5	REG0-6315 // REG0-6102	PM0-3802 // PM0-7561	MONOMER0-2421
BS00060	940837	REG0-4821	PM00026	PHOSPHO-NARL
BS0-6996	3270710	REG0-4956	PM643	CPLX0-7705
BS0-5442	3278868.5	REG0-5892	PM0-6881	G7630-MONOMER
BS0-4664	4246569.5	REG0-4739 // REG0-4731	PM00048 // PM00047	CPLX0-226
BS0-1561	911136.5d0	REG0-14953 // REG0-4954	PM0-46505 // PM641	PD00365
BS0-10876	3706002	REG0-16445	TU0-198714	CPLX0-7639
BS0-1586	485770.5	REG0-4942	PM624	PD00406
BS0-7769	2832287	REG0-10488	PM0-9342	CPLX0-7756
BS0-1065	2716563.5	REG0-9014 // REG0-6520	PM0-1303	CPLX0-7797
BS0-23	2303614	REG0-5060 // REG0-4873	PM444 // PM125	PHOSPHO-NARP
BS0-8031	3664813.5	REG0-10995 // REG0-10994	PM0-10288 // PM0-6061	EG12242-MONOMER
BS0-8631	1453687.5	REG0-12663	PM5	CPLX0-8563
BS0-8659	189607	REG0-12700	TU0-12827	PD04418
BS0-7532	3128277	REG0-9370	PM167	CPLX0-7705
BS0-8855	2476426	REG0-13175	TU0-13607	G7072-MONOMER
BS0-4205	1157718	REG0-6506	PM0-1301	PHOSPHO-ARCA
BS165	385167	REG0-5109	PM502	CPLX0-2781
BS0-8611	1673789.5	REG0-12613	PM0-46378	PD00288
BS0-8511	4050877	REG0-12394	PM0-5062	MONOMER0-1
BS0-3812	3546333.5d0	REG0-6214 // REG0-6211 // REG0-5917	PM0-5168 // PM0-5167 // PM00315	CPLX0-226
BS0-7529	3128086	REG0-9367	PM167	CPLX0-7705
BS00746	1986383	REG0-14901 // REG0-5493	PM0-46480 // PM00139	CPLX-172
BS0-7172	4360281	REG0-6044	PM00622	PD00288
BS0-8921	4200275	REG0-14535 // REG0-13279	EG10466 // TU0-14324	G7072-MONOMER
BS0-7699	1400366	REG0-10329	PM0-10357	CPLX0-7705
BS0-7613	3178021.5	REG0-9785 // REG0-9575	PM0-10259 // PM0-10219	PD00365
BS00461	2685717	REG0-11347 // REG0-9059 // REG0-5928	PM00268 // PM00415	CPLX0-7752 // CPLX0-7759
BS0-8766	4275168	REG0-12903	PM0-36256	PD04132
BS0-3982	4419650.5	REG0-6198	PM0-5403	G7854-MONOMER
BS0-7525	1572177	REG0-15061 // REG0-9363	PM0-46530 // PM450	CPLX0-7705
BS0-3221	3039225.5	REG0-6310	PM0-4381	CPLX0-7748
BS0-8168	4012843	REG0-11337 // REG0-11336 // REG0-11335	PM0-8604 // PM0-8603 // PM0-8601	CPLX0-7752
BS65	3772129.5d0	REG0-5715	PM00272	CPLX0-226
BS0-7877	922808.5	REG0-10729	PM00597	G7571-MONOMER
BS0-7318	3486001	REG0-5441	PM00161	CPLX0-7705
BS00050	4616071	REG0-4808	PM00024	PD01196
BS0-3522	605496.5	REG0-6232	PM0-4864	PD00365
BS0-7902	3581031	REG0-10785	PM0-45771	CPLX0-7639
BS0-6622	3667669.5	REG0-15212 // REG0-5010	PM0-46571 // PM461	CPLX0-226
BS00147	1277890.5d0	REG0-4537	PM00061	CPLX0-7797
BS0-10764		REG0-16319	PM0-1341	MONOMER0-46
BS0-8948	1404598.5	REG0-13313	TU0-8760	CPLX0-226
BS0-2043	3880259	REG0-14956 // REG0-6345	PM0-46506 // PM00457	CPLX0-7705
BS0-7142	4035186	REG0-14841 // REG0-6451	PM0-46466 // PM0-1341	MONOMER0-155
BS0-7437	624740	REG0-9134	PM00226	CPLX0-7639
BS00117	4246603.5	REG0-4742 // REG0-4730	PM00048 // PM00047	CPLX0-226
BS0-8461	1037682.5	REG0-15186 // REG0-12189	PM0-46567 // PM00138	G6789-MONOMER
BS0-7887	1335729.5	REG0-10754	PM262	PD00406
BS0-8809		REG0-13126	PM0-46188	CPLX0-8597
BS60	3384373.5d0	REG0-5879	PM00150	CPLX0-226
BS0-7837	3068901.5	REG0-10613	PM0-9890	MONOMER0-155
BS00177	2597779.5	REG0-4619	PM00076	CPLX-123
BS0-1746	3667728.5	REG0-15210 // REG0-15200 // REG0-10972 // REG0-5012	PM0-46571 // PM461	EG12242-MONOMER
BS0-1762	1572170.5	REG0-15064 // REG0-4989	PM0-46530 // PM450	EG12243-MONOMER
BS149	121963.5	REG0-14987 // REG0-5143	PM0-46520 // PM00324	CPLX0-226
BS0-5449	3281794.5	REG0-6149	PM0-6883	G7630-MONOMER
BS0-7480	4516750	REG0-9279	PM00605	CPLX0-7639
BS00297	3384287	REG0-5881	PM00150	PHOSPHO-ARCA
BS0-8001		REG0-10933	PM0-7921	PD00288
BS761	1335740.5d0	REG0-4925	PM262	CPLX0-7797
BS0-7546	1279704	REG0-9385	PM00060	CPLX0-7705
BS0-6955	624801.5	REG0-5406	PM00228	CPLX0-226
BS0-8320		REG0-11642	PM0-45171	PHOSPHO-PHOB
BS0-1681	4240275	REG0-5422	PM0-2201	CPLX0-226
BS00348	358742	REG0-5846 // REG0-5845	PM00195 // PM00194	PD00291 // MONOMER0-164
BS0-8926	4479697	REG0-13285 // REG0-13284	TU0-8620 // TU0-8619	G7072-MONOMER
BS53	754837	REG0-5874	PM00148	PC00027
BS0-2602	1287794	REG0-5621	PM00666	CPLX0-7705
BS00122	3552547.5	REG0-4492	PM00049	MONOMER0-158
BS626	4348746	REG0-4916	PM00625	PHOSPHO-NARL
BS0-7873	3664809	REG0-10722	PM0-10288	PHOSPHO-PHOP
BS00504	4277448.5	REG0-5973 // REG0-4978	PM00297 // PM00606	PD04132
BS0-7507	2716533	REG0-9336	PM0-1303	CPLX0-7705
BS00749	2687483.5	REG0-5824 // REG0-5469	PM00627 // PM00127	CPLX-123
BS00537	3792654	REG0-5454	PM00115	PD00353
BS0-8607		REG0-12611	TU0-13864	G7619-MONOMER
BS0-7664	3088047.5	REG0-10088	PM0-7421	MONOMER-52
BS0-4202	422434.5	REG0-6160	PM0-5642	MONOMER0-158
BS00407	3050816	REG0-5746	PM00233	PD00339
BS0-2181	1453806.5	REG0-5104 // REG0-5098	PM4 // PM5	CPLX0-226
BS823	2231724.5	REG0-6014	PM1001	CPLX0-226
BS0-1745		REG0-15209 // REG0-5013	PM0-46571 // PM461	PD00288
BS0-5841	3853309	REG0-6180	PM0-6541	PC00010
BS0-7212	1592539.5	REG0-6582	PM0-8864	CPLX0-7425
BS0-7209	1592599	REG0-6580	PM0-8864	PC00027
BS00346	2339517	REG0-5711	PM00192	PD03695
BS0-8213		REG0-11465	PM00184	G6165-MONOMER
BS00684	4330285.5d0	REG0-5780	PM00212	CPLX0-226
BS0-8040	2089731.5	REG0-11033	PM0-10318	CPLX0-7929
BS0-8404	1961866.5	REG0-11982	PM0-46313	CPLX0-7916
BS0-7919	1103473.5	REG0-15160 // REG0-10811	PM0-46559 // PM00536	CPLX0-7748
BS0-3565	1821838	REG0-5121	PM183	PD00266
BS0-7864	3667625.5	REG0-15204 // REG0-10706	PM0-46571 // PM461	PHOSPHO-RCSB
BS0-6804	4012884.5d0	REG0-6064 // REG0-6061 // REG0-6058	PM0-8604 // PM0-8603 // PM0-8601	CPLX0-7796
BS271	3731028.5d0	REG0-5047	PM70	MONOMER0-165
BS00596	1103462.5	REG0-15173 // REG0-5351	PM0-46559 // PM00536	PD01379
BS0-7007	4208106	REG0-4620	PM00078	PHOSPHO-PHOP
BS00593	1103821	REG0-15001 // REG0-5280	PM0-46522 // PM00535	PD01379
BS0-8593	2710404.5	REG0-15279 // REG0-12597	PM0-46585 // PM0-46373	MONOMER0-4147
BS0-8754	848967	REG0-14934 // REG0-12888	PM0-46500 // PM00243	PD00214
BS0-8788	813334	REG0-12980	PM00099	MONOMER0-160
BS0-7760	855838.5	REG0-10478	PM0-36231	EG10087-MONOMER
BS0-8957	2748620	REG0-13343	TU0-13682	EG12386-MONOMER
BS0-7924	1103517.5	REG0-15155 // REG0-10816	PM0-46559 // PM00536	PC00027
BS00709	3050998	REG0-8996 // REG0-5744	PM00233	PD00339
BS0-3223	200354	REG0-6280	PM0-4386	CPLX0-7748
BS0-8327	1031945	REG0-14854 // REG0-11654	PM0-46472 // PM00598	G7326-MONOMER
BS00051	4617184.5	REG0-9008 // REG0-4810	PM00025	CPLX0-226
BS00416	1292998	REG0-5687	PM00191	PD00288
BS0-7854	849016	REG0-14936 // REG0-10679	PM0-46500 // PM00243	PD00214
BS0-7261	2344432	REG0-4553	PM00063	CPLX0-7705
BS0-2085	2405228	REG0-5632	PM00592	PC00027
BS00567	1298377.5	REG0-14880 // REG0-4895	PM0-46478 // PM00279	PC00061
BS0-7697	4392681	REG0-10326	PM0-10354	MONOMER0-160
BS0-4243	2716507	REG0-6521	PM0-1303	EG11088-MONOMER
BS0-3881	3577630.5	REG0-5266	PM00314	MONOMER0-1301
BS0-8171	2719889.5	REG0-11352	PM0-46172	CPLX0-226
BS0-7897	3155228.5	REG0-10775	PM0-36133	G7563-MONOMER
BS0-8839	1115533	REG0-13158	TU0-13125	G7072-MONOMER
BS00199	4100723	REG0-5525	PM00089	CPLX0-7639
BS0-8283	4256426.5	REG0-11579	PM0-36261	PHOSPHO-BASR
BS0-3489	1616970	REG0-6441	PM0-1581	PHOSPHO-ARCA
BS0-8980	3360901	REG0-13424	TU0-45146	PD00519
BS0-3403		REG0-6275	PM0-4723	G7821-MONOMER
BS0-8577	3234507	REG0-12589	PM0-46154	CPLX0-8229
BS0-7295		REG0-5392	PM0-9512	PD00288
BS0-8601		REG0-12608	PM0-8732	G7619-MONOMER
BS00726	1165897.5	REG0-5802	PM00218	CPLX0-7797
BS0-7636	1121516.5	REG0-9606	PM0-10244	PC00010
BS0-4701	3552583.5	REG0-4490	PM00049	MONOMER0-158
BS0-7248	1330781	REG0-6379 // REG0-5082	PM00550 // PM00547	CPLX0-7705
BS00151	2344707	REG0-4562	PM00063	MONOMER0-160
BS0-7942	3350548	REG0-10848	PM0-9687	PHOSPHO-ARCA
BS00068	2241771.5	REG0-4647	PM00031	PD00261
BS0-8250	1862009.5	REG0-15184 // REG0-11513 // REG0-11511 // REG0-11509 // REG0-11507	PM0-46565 // PM00579 // PM00578 // PM00380 // PM00577	PC00061
BS0-10769		REG0-16324	PM0-1349	MONOMER0-46
BS0-11	2751736.5	REG0-6588	PM0-3	PC00010
BS0-7470	1584079.5	REG0-9268	PM0-9828	PHOSPHO-EVGA
BS0-7496	2352467	REG0-9328 // REG0-9319	PM00039 // PM00037	CPLX0-7705
BS0-8430	707992	REG0-12038	PM0-10382	PD00266
BS0-7936	1316159.5	REG0-10833	PM0-9320	G6761-MONOMER
BS0-2682	3418846	REG0-6319	PM0-3822	PROTEIN-NRIP
BS00787	3318372	REG0-5225	PM00440	CPLX0-7705
BS0-7226		REG0-6610	PM0-9327	EG10226-MONOMER
BS0-6002		REG0-15133 // REG0-6133	PM0-46556 // PM00325	PHOSPHO-ARCA
BS0-7277	1623920	REG0-4611	PM0-9401	CPLX0-7748
BS00649	1901920	REG0-5731	PM00276	PD01896
BS0-8373	3378857.5	REG0-11825	PM404	CPLX0-226
BS0-3501	4466447	REG0-5980	PM00299	PHOSPHO-ARCA
BS0-10696	954590.5	REG0-16186	PM00517	CPLX0-7748
BS0-7937	1316157.5	REG0-10834	PM0-9320	PD00288
BS0-7606	932359	REG0-9556	PM00252	PD00353
BS-7094	4551354.5d0	REG0-6218	PM0-5201	CPLX0-226
BS0-5481	3373680.5d0	REG0-6419	PM0-1781	CPLX0-226
BS0-2351		REG0-4548	PM00062	PD00288
BS0-2485	1832319	REG0-6486	PM0-1163	PROTEIN-NRIP
BS0-7800	4124568	REG0-10556	PM00486	CPLX0-7740
BS00054	4617270	REG0-4814	PM00025	PD01196
BS749	1166017	REG0-5797	PM00218	PC00027
BS0-3561	1821809.5	REG0-5120	PM183	CPLX0-226
BS0-5472	792099	REG0-14872 // REG0-4654	PM0-46476 // PM00032	PD00288
BS00261	1989580.5	REG0-5468 // REG0-5464	PM00125	PD00413 // MONOMER0-163
BS0-1942	3146414	REG0-5070	PM197	PHOSPHO-NARL
BS00764	4100659.5	REG0-5516 // REG0-5374	PM00089 // PM00293	CPLX0-226
BS0-8860	216627	REG0-13183	TU0-12836	G7072-MONOMER
BS0-7336		REG0-5415	PM0-9580	PD00288
BS00489	354847.5	REG0-5735	PM00278	CPLX-123
BS0-7128	29378	REG0-5885	PM00151	CPLX0-3061
BS0-2461	3219287	REG0-15177 // REG0-6336	PM0-46561 // PM0-3521	PROTEIN-NRIP
BS00304	329391	REG0-5434 // REG0-5431	PM00157 // PM00156	PD00251
BS00065	4382407	REG0-15003 // REG0-4643	PM0-46523 // PM00030	PHOSPHO-NARL
BS0-7439	91014	REG0-9142	PM0-9678	PC00010
BS0-8737	28281.5	REG0-12853	PM00318	CPLX0-7669
BS0-8571	4050875.5	REG0-12558	PM0-5062	CPLX0-226
BS00198	4100717	REG0-5524	PM00089	CPLX0-7639
BS0-8467	1092554.5	REG0-12198	PM0-8907	PHOSPHO-OMPR
BS0-8845	2859661	REG0-13164	TU0-13720	G7072-MONOMER
BS0-8482	595519.5	REG0-12232 // REG0-12231	PM0-2001 // PM0-2002	MONOMER0-4341
BS0-7612	28261.5	REG0-9574	PM00318	CPLX0-7669
BS00073	792122.5	REG0-14876 // REG0-4665 // REG0-4650	PM0-46476 // PM00033 // PM00032	CPLX0-226
BS757	1057977.5	REG0-5975 // REG0-4847	PM00298 // PM168	PHOSPHO-TORR // TORR-CPLX
BS0-8986	1215690	REG0-14846 // REG0-13436	PM0-46467 // PM0-10543	PD00365
BS0-8875	820725	REG0-13216	TU0-13048	G7072-MONOMER
BS0-7687	1645890.5	REG0-10262	PM0-9527	CPLX0-7928
BS0-8198	1237284	REG0-11424 // REG0-5286 // REG0-11417	PM562 // PM00540 // PM561	PD00353
BS0-7301	243333	REG0-5401	PM0-9520	PD01520
BS821	2231776.5	REG0-8981 // REG0-6012	PM1001	CPLX0-226
BS401	4215243	REG0-4747	PM00001	PC00027
BS0-7718	3657759	REG0-10415	PM0-10349	G6789-MONOMER
BS0-10742	1673672.5	REG0-16235	TU0-13343	CPLX0-8952
BS0-4	4105780	REG0-6492	PM0-1201	CPLX0-7748
BS0-5703	3088390.5	REG0-6118	PM0-7421	PD03028
BS0-1162	4166265	REG0-15245 // REG0-5074	PM0-46578 // PM00514	CPLX0-7705
BS0-7898	3155249.5	REG0-10776	PM0-36133	G7563-MONOMER
BS0-2922	638937.5d0	REG0-5553	PM00102	CPLX0-7796
BS0-6503	1682094	REG0-6089	PM0-8164	PHOSPHO-PHOP
BS0-5943	792029.5	REG0-14867 // REG0-4885 // REG0-4663	PM0-46476 // PM00032 // PM00033	PD00261
BS00018	4478366.5d0	REG0-4779	PM00008	CPLX0-228
BS0-7512	1638900	REG0-9350	PM0-7321	CPLX0-7705
BS0-3761	2303623	REG0-5062 // REG0-4878	PM444 // PM125	PHOSPHO-NARL
BS00383	1165941.5	REG0-5801	PM00218	CPLX0-7797
BS0-8515		REG0-12510	PM0-10034	G6664-MONOMER
BS112	1279599	REG0-4519	PM00060	PHOSPHO-NARL
BS0-8296	1687193.5	REG0-11605	PM00147	CPLX0-226
BS0-8050	1103831.5	REG0-14999 // REG0-11055	PM0-46522 // PM00535	PD01379
BS00224	2892019	REG0-5828	PM00107	CPLX0-2781
BS0-6987	4382438	REG0-15006 // REG0-4640	PM0-46523 // PM00030	PHOSPHO-NARL
BS0-8930	2215650	REG0-13289	TU0-13528	G7072-MONOMER
BS0-6967	121983.5	REG0-14992 // REG0-5138	PM0-46520 // PM00324	CPLX0-226
BS0-8863	302856	REG0-13186	TU0-8547	G7072-MONOMER
BS00427	848199	REG0-5750	PM00235	PC00027
BS0-8164	2344510.5	REG0-11324	PM00063	CPLX0-7669
BS0-8820	4436619	REG0-14468 // REG0-13138	EG10160 // TU0-14162	G7072-MONOMER
BS0-8910	3321219	REG0-13264	TU0-13882	G7072-MONOMER
BS0-1562	911136.5d0	REG0-14954 // REG0-4953	PM0-46505 // PM641	PD00406
BS0-8843	1633133	REG0-14723 // REG0-13162	G6818 // TU0-13316	G7072-MONOMER
BS0-8055	1103510.5	REG0-15150 // REG0-11061	PM0-46559 // PM00536	PD01379
BS340	2312745	REG0-5318 // REG0-5002 // REG0-4580	PM00630 // PM00631 // PM00065	PD00353
BS0-7514	1638832	REG0-9352	PM0-7321	CPLX0-7705
BS0-8365	1361114.5	REG0-11813	PM0-10033	CPLX0-226
BS0-7782	1802654	REG0-10507	PM0-8891	CPLX0-7756
BS0-3346	1293240	REG0-5679	PM00191	CPLX0-7705
BS0-8591	2710429.5	REG0-15280 // REG0-12596	PM0-46585 // PM0-46373	MONOMER0-4147
BS0-7229	3058475	REG0-5566	PM00308	G7072-MONOMER
BS0-8451		REG0-14908 // REG0-14906 // REG0-12148	PM0-46482 // PM0-46481 // PM0-10223	CPLX0-7748
BS0-3622	366404.5	REG0-6247 // REG0-6246 // REG0-4714	PM0-4942 // PM0-4941 // PM00045	CPLX0-226
BS0-7761	495163.5	REG0-10479	PM00340	EG10087-MONOMER
BS0-8525	3246424.5	REG0-12520	PM0-46365	PD03270
BS0-7713	636712.5	REG0-10393	PM0-10368	CPLX0-7797
BS00742	3592452	REG0-5230	PM00449	PHOSPHO-PHOB
BS0-6980	954839	REG0-5205 // REG0-5184	PM00354 // PM00353	PHOSPHO-NARL
BS0-7767	122888	REG0-15131 // REG0-10485	PM0-46556 // PM00325	CPLX0-7756
BS0-8667	3172462	REG0-12704	TU0-13835	PD00406
BS0-2962	4128605.5d0	REG0-6293	PM00490	CPLX0-7796
BS0-8691	1447398	REG0-12796	PM0-46297	MONOMER0-2741
BS0-7151	2620970.5d0	REG0-6309	PM00589	CPLX0-7797
BS0-8251	332025.5	REG0-11514	PM0-9569	PC00061
BS0-7155	3552637.5d0	REG0-4488	PM00049	CPLX0-7797
BS0-8777	4242371	REG0-12963	PM0-46402	CPLX0-226
BS0-8029	3656865.5	REG0-15096 // REG0-15095 // REG0-10991 // REG0-10990	PM0-46542 // PM928	EG12242-MONOMER
BS0-2551	3429118	REG0-15016 // REG0-6478	PM0-46525 // PM0-1351	CPLX0-7705
BS00115	4246540.5	REG0-4741 // REG0-4732	PM00048 // PM00047	CPLX0-226
BS00055	4616970	REG0-4815	PM00025	PD01196
BS0-7241	3410103	REG0-4630	PM00028	CPLX0-7705
BS-7052	1130938.5	REG0-6551	PM-8783	CPLX0-3930
BS0-7138		REG0-6020	PM00560	PD00288
BS00215	3100842.5	REG0-5554	PM00103	CPLX0-226
BS00196	3600897.5	REG0-5512	PM00088	CPLX0-226
BS0-8402	2196378.5	REG0-11980	PM0-10	CPLX0-7916
BS0-7297		REG0-5398	PM0-9516	PD00288
BS0-8829	4428770	REG0-14817 // REG0-13147	G7864 // TU0-14158	G7072-MONOMER
